graph_class,seed,nodes,edges,density,is_dense,avg_clustering_coefficient,avg_betweenness_centrality,avg_degree_centrality,avg_path_length,small_world_sigma,modularity
grid_2d,88,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,89,100,3451,0.697172,True,0.696116,0.00309,0.697172,1.302828,0.833507,0.045459
dense_random,89,100,4450,0.89899,True,0.89842,0.001031,0.89899,1.10101,0.931246,0.018718
powerlaw,89,100,291,0.058788,False,0.146504,0.016349,0.058788,2.602222,2.503965,0.332707
powerlaw,89,100,475,0.09596,False,0.17728,0.012525,0.09596,2.227475,1.696568,0.270524
complete,89,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,89,100,531,0.107273,False,0.643589,0.026708,0.107273,3.725857,3.04379,0.667874
unit_disk,89,100,1027,0.207475,False,0.701706,0.015096,0.207475,2.479394,2.07846,0.516356
grid_2d,89,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,89,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,90,100,3410,0.688889,True,0.686763,0.003175,0.688889,1.311111,0.829278,0.042637
dense_random,90,100,4441,0.897172,True,0.896819,0.001049,0.897172,1.102828,0.930355,0.017212
powerlaw,90,100,291,0.058788,False,0.12681,0.017003,0.058788,2.666263,2.115307,0.361516
powerlaw,90,100,475,0.09596,False,0.176726,0.01261,0.09596,2.235758,1.685009,0.267424
complete,90,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,90,100,541,0.109293,False,0.603232,0.026009,0.109293,3.548889,3.007558,0.600249
unit_disk,90,100,1157,0.233737,False,0.693288,0.013191,0.233737,2.292727,1.896412,0.455834
grid_2d,90,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,90,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,91,100,3476,0.702222,True,0.699849,0.003039,0.702222,1.297778,0.833766,0.042893
dense_random,91,100,4453,0.899596,True,0.899241,0.001025,0.899596,1.100404,0.931842,0.019028
powerlaw,91,100,291,0.058788,False,0.153719,0.01638,0.058788,2.605253,2.624224,0.359337
powerlaw,91,100,475,0.09596,False,0.193898,0.012294,0.09596,2.204848,1.874652,0.247942
complete,91,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,91,100,528,0.106667,False,0.638241,0.027537,0.106667,3.698586,3.160769,0.645055
unit_disk,91,100,1046,0.211313,False,0.694204,0.014671,0.211313,2.437778,2.040976,0.514872
grid_2d,91,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,91,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,92,100,3529,0.712929,True,0.713793,0.002929,0.712929,1.287071,0.841572,0.043631
dense_random,92,100,4494,0.907879,True,0.907885,0.00094,0.907879,1.092121,0.937373,0.015623
powerlaw,92,100,291,0.058788,False,0.174713,0.015671,0.058788,2.535758,3.064371,0.326909
powerlaw,92,100,475,0.09596,False,0.19479,0.012412,0.09596,2.216364,1.873487,0.269496
complete,92,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,92,100,487,0.098384,False,0.624416,0.028225,0.098384,3.766061,3.409495,0.62364
unit_disk,92,100,1024,0.206869,False,0.674968,0.014651,0.206869,2.435758,2.043018,0.489428
grid_2d,92,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
grid_2d,92,225,420,0.016667,False,0.0,0.040359,0.016667,10.0,0.0,0.720779
dense_random,93,100,3464,0.699798,True,0.699838,0.003063,0.699798,1.300202,0.835763,0.044677
dense_random,93,100,4407,0.890303,True,0.890917,0.001119,0.890303,1.109697,0.927186,0.018786
powerlaw,93,100,291,0.058788,False,0.211288,0.015788,0.058788,2.547273,3.689137,0.348112
powerlaw,93,100,475,0.09596,False,0.188328,0.012307,0.09596,2.206061,1.819801,0.236762
complete,93,50,1225,1.0,True,1.0,0.0,1.0,1.0,1.005191,0.0
unit_disk,93,100,492,0.099394,False,0.657416,0.029388,0.099394,3.88,3.433459,0.626962
unit_disk,93,100,989,0.199798,False,0.689793,0.015248,0.199798,2.494343,2.135604,0.468787
grid_2d,93,100,180,0.036364,False,0.0,0.057823,0.036364,6.666667,0.0,0.633549
